"time","aorta_Um_avg","aorta_Um_max","aorta_Ux_avg","aorta_Ux_max","connect_Um_avg","connect_Um_max","connect_Uy_avg","connect_Uy_max","vena_Um_avg","vena_Um_max","vena_Ux_avg","vena_Ux_max","aorta_P_avg","aorta_P_max","vena_P_avg","vena_P_max"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.0500000000000046,0.0127902409876697,0.0176460929214954,0.0114022133930121,0.0168528463691473,0.0111151704082399,0.0160657558590174,0.0104884018583107,0.015808705240488,0.0193705483980011,0.0281522609293461,-0.0184136779425899,0.000558833999093622,1773.95426940918,2240.669921875,892.693412780762,1103.5166015625
0.0999999999999939,0.0297255167970434,0.0391659550368786,0.0265522917616181,0.0380415320396423,0.02105498136327,0.0320798270404339,0.0190778357044571,0.0306876711547375,0.0287327720600713,0.0521561950445175,-0.0258738900385132,0.0100190285593271,2597.77169799805,3431.20458984375,2895.78761400495,3291.83203125
0.150000000000009,0.0307815908454359,0.041544746607542,0.0208780975081027,0.0403460152447224,0.0191827319562435,0.0319351702928543,0.0125982933677733,0.0308435149490833,0.0126601402716448,0.0946740582585335,-0.00136660895721154,0.0583179220557213,3528.41577148438,4581.30322265625,5124.09267053849,5278.67431640625
0.200000000000059,0.0304645318537951,0.0430931262671947,0.0162007547914982,0.0415217876434326,0.0243565389004714,0.0424915999174118,0.0161154317283171,0.0341758243739605,0.0144172275904566,0.0186517294496298,0.00846970058046281,0.0185301657766104,4890.65765380859,6244.44384765625,4492.78247070312,5766.3603515625
0.250000000000109,0.0386759480461478,0.0551251135766506,0.0226215291768312,0.0528390854597092,0.0300049859277428,0.0523985028266907,0.0198429873599572,0.0435371212661266,0.0239782296621109,0.120520949363708,0.00526326224942936,0.0781324133276939,5430.77569580078,6995.4208984375,6187.35855611165,6362.775390625
0.300000000000159,0.0428018509410322,0.0597800873219967,0.0231633153744042,0.0569594912230968,0.031033257973638,0.0539469830691814,0.0205543893240788,0.0443877838551998,0.027568751713261,0.0384872741997242,0.0242923962650821,0.0377846024930477,4873.73803710938,6290.2138671875,4993.71118164062,6460.48388671875
0.350000000000209,0.0335748097859323,0.0461643151938915,0.00939348817337304,0.0438102260231972,0.0259037679209909,0.0449608489871025,0.0152740723433647,0.0315586104989052,0.0522149140851047,0.101374000310898,0.042651329610052,0.0768259689211845,4164.34301757812,5356.26806640625,5311.24459819305,5456.681640625
0.400000000000259,0.0279641710221767,0.0395748130977154,0.00628398203843972,0.0380280651152134,0.0254114374518394,0.0385779552161694,0.0119311209273292,0.0255382284522057,0.0535554237639866,0.0716753527522087,0.0468712609962005,0.0700589194893837,2908.70092773438,3740.09350585938,3294.88410010705,3372.5673828125
0.450000000000309,0.0240170459728688,0.034814115613699,0.00675887841498479,0.0326121300458908,0.0218969722278416,0.0343060940504074,0.0112329352763481,0.0250311996787786,0.0451850229874253,0.070013590157032,0.045059566386044,0.0700069516897202,733.393447875977,935.724182128906,862.182327270508,1094.15588378906
0.500000000000359,0.0136406463570893,0.0215868521481752,-0.00491922331275418,0.00703188870102167,0.0168231559218839,0.0265171453356743,0.00688168627675623,0.0187842473387718,0.05486842236168,0.0879079028964043,0.0546037046349998,0.0877441018819809,-1756.73435211182,-474.357086181641,-1872.76452689657,-147.179443359375
0.550000000000132,0.0196693507023156,0.036251824349165,-0.0146183131728321,0.00929448194801807,0.0111912854605335,0.0191233642399311,0.000133451571913456,0.0138785392045975,0.0600915534001275,0.106736652553081,0.0592090346507539,0.105351611971855,-4371.37268066406,-1224.40625,-4486.25356283706,-1336.00708007812
0.599999999999904,0.0272907470352948,0.0329857505857944,-0.0139555889181793,0.0233305152505636,0.0138709600494699,0.032431349158287,-0.00401446598760308,0.0184082537889481,0.0579233089229092,0.0852556675672531,0.0543850032845512,0.0829352512955666,-7457.42456054688,-2159.927734375,-7370.31091308594,-2189.6064453125
0.649999999999677,0.0417553307488561,0.0592787228524685,-0.0193325104191899,0.0371609888970852,0.0238962764727903,0.0561687797307968,-0.00710316527228644,0.0253970324993134,0.0736886779770243,0.250027060508728,0.0637680348375001,0.249104797840118,-10431.7576904297,-2991.63427734375,-12953.2871282529,310.1171875
0.699999999999449,0.0642787413671613,0.0971143990755081,-0.0299153383821249,0.0569854602217674,0.0405279783621193,0.0945443212985992,-0.0163299891963958,0.0346615575253963,0.0663334503769875,0.104885593056679,0.0474428674206138,0.10029137134552,-13032.497253418,-3726.63745117188,-13076.0942382812,-3723.7529296875
0.749999999999222,0.0771779846400023,0.118924431502819,-0.0304026519879699,0.0713845938444138,0.0523007142387251,0.141816437244415,-0.0185955937808142,0.0377194993197918,0.0768170117472227,0.411709159612656,0.0424809797528805,0.40879961848259,-15348.3198242188,-4172.828125,-19030.5478372329,1344.91552734375
0.799999999998994,0.0787377050146461,0.134370073676109,-0.0242923153564334,0.0819864347577095,0.0601236953677491,0.194129720330238,-0.0224314778547813,0.0350187532603741,0.053958348929882,0.0959460362792015,-0.00288340868428349,0.0905522182583809,-15417.8610839844,-4389.4912109375,-16326.7943115234,-4526.15185546875
0.849999999998766,0.0778942033648491,0.142227128148079,-0.0128083936870098,0.0851977542042732,0.0697665713935536,0.236507952213287,-0.0232635984739705,0.042656172066927,0.0596805752587982,0.109436206519604,-0.0562963854338144,0.02939323335886,-16212.9587402344,-4633.9189453125,-14988.1058469782,-4477.97900390625
