"time","Q"
0,0.00153164539671712
0.05,0.000414762284513967
0.1,0.00278196567871839
0.15,0.00441870268861533
0.2,0.00616342636344745
0.25,0.00899492929363515
0.3,0.0116808182586365
0.35,0.0144974782145108
0.4,0.0176357964320395
0.45,0.0204594055561438
0.5,0.0226740242580558
0.55,0.0231113244200881
0.6,0.0116445635908577
0.65,0.00204851921775128
0.7,0.00449238060401382
0.75,0.00718521817599101
0.8,0.00746019337416338
0.85,0.00468724061873756
0.9,0.00248240563231257
0.95,0.0107455013842091
1,0.0187766962114464
1.05,0.0280373609418533
1.1,0.037580780111744
1.15,0.0463060168504588
1.2,0.0544381518583477
1.25,0.0615503998996309
1.3,0.0669073736395291
1.35,0.0699845036154868
1.4,0.0703744497550999
1.45,0.0679206424013171
1.5,0.0628117088890263
1.55,0.0556580219685925
1.6,0.0471514072467797
1.65,0.0379275430618347
1.7,0.0285978961349655
1.75,0.0193977444056954
1.8,0.011024934809623
1.85,0.00405320521617853
1.9,0.00185010532154356
1.95,0.00588794790105935
2,0.00765818636721242
2.05,0.00670355807563976
2.1,0.00150559220503557
2.15,0.0068839232701565
2.2,0.0147934594618233
2.25,0.0233571321362409
2.3,0.033011123402013
2.35,0.0421352549263188
2.4,0.0504552157995792
2.45,0.0581499988834555
2.5,0.0644951500641194
2.55,0.0686162133540679
2.6,0.0703757305877045
2.65,0.0693089079848104
2.7,0.0654066285752096
2.75,0.0592158815333506
2.8,0.0512419687524482
2.85,0.0423013004945634
2.9,0.033013591863164
2.95,0.0237002903566636
3,0
