"time","Q"
0,0.000767697217758496
0.05,0.000661955580315739
0.1,0.00383985539330204
0.15,0.00565823113489552
0.2,0.00446327135316701
0.25,0.00633826389738527
0.3,0.00864677131013899
0.35,0.0110111352308152
0.4,0.0129610977957698
0.45,0.0126682695997066
0.5,0.0092376116692313
0.55,0.00721114771496148
0.6,0.00819959525963739
0.65,0.00780007513846026
0.7,0.00888222152127766
0.75,0.00889790620379446
0.8,0.00835911522964707
0.85,0.00835841892565421
0.9,0.00698750040917548
0.95,0.00554648066975438
1,0.00698528978452266
1.05,0.00975381861800404
1.1,0.0127046275927564
1.15,0.0141531883000034
1.2,0.0136763119234848
1.25,0.0119310439058028
1.3,0.0103294709637074
1.35,0.00811967497239487
1.4,0.00773399761718715
1.45,0.00909306760953389
1.5,0.00965711804638874
1.55,0.00965022731470276
1.6,0.00891696147629228
1.65,0.0075986653395271
1.7,0.00651403854042338
1.75,0.00595477891833398
1.8,0.00672471769144028
1.85,0.00895042347671231
1.9,0.0111814920369259
1.95,0.0121295530019321
2,0.0119292773731427
2.05,0.0108457034664237
2.1,0.00944790922369383
2.15,0.00833133140754815
2.2,0.00818175297199493
2.25,0.00890447875220485
2.3,0.00957495364808757
2.35,0.00957726900044338
2.4,0.00895014607227819
2.45,0.00789374377156338
2.5,0
