"time","Q"
0,0.00110729023174205
0.05,0.00251393493614013
0.1,0.00417496826866984
0.15,0.00308273252352406
0.2,0.00068362931095977
0.25,0.00358380237795189
0.3,0.00611897085121341
0.35,0.00501941851259885
0.4,0.00103218750710442
0.45,0.00295684371157391
0.5,0.00570644499163574
0.55,0.00989671858706464
0.6,0.0105955154936178
0.65,0.00880724744938355
0.7,0.00706407095055796
0.75,0.00358783648629639
0.8,0.00151609621048165
0.85,0.00292053569511138
0.9,0.00346947282586494
0.95,0.00220667912713096
1,0.000903624343932636
1.05,0.0045484480070506
1.1,0.00824267914726523
1.15,0.0111243374374821
1.2,0.0116435137913491
1.25,0.0102689844301345
1.3,0.00754978259356233
1.35,0.00396836655800019
1.4,0.00174601031646987
1.45,0.00222150133479914
1.5,0.00272381083066521
1.55,0.00119492125643147
1.6,0.00205325556026973
1.65,0.00563933868377327
1.7,0.0091958490716295
1.75,0.0117904704301335
1.8,0.012118991281994
1.85,0.0104105149260632
1.9,0.00753110213887498
1.95,0.00395617121256455
2,0.00178902016901386
2.05,0.00192619289019291
2.1,0.00233170737130094
2.15,0.000735610380553592
2.2,0.00270997275711104
2.25,0.00639577141737573
2.3,0.00979080257611676
2.35,0.0120588282231699
2.4,0.0123427957262815
2.45,0.0104069759394414
2.5,0
