"number","Wo","CR","Freq","aorta_Um_avg","aorta_Um_max","aorta_Ux_avg","aorta_Ux_max","connect_Um_avg","connect_Um_max","connect_Uy_avg","connect_Uy_max","vena_Um_avg","vena_Um_max","vena_Ux_avg","vena_Ux_max","aorta_P_avg","aorta_P_max","vena_P_avg","vena_P_max","delta_P"
11,1.2157465,0.675,0.6690525,0.0601432063473911,0.242820620536804,0.0508215371083283,0.239037901163101,0.0433706588800609,0.218643724918366,0.0355818541420983,0.218528583645821,0.0618393960284938,0.239020809531212,0.0523906862003324,0.237790748476982,2219.42270091476,26012.701171875,447.48739689853,21403.224609375,-0.0192621648311615
12,1.2157465,0.675,0.8169873,0.0544165454175071,0.236887887120247,0.0490233387001849,0.233617320656776,0.0404403539936128,0.221896201372147,0.0355646786341455,0.221014812588692,0.0570086983223186,0.236361846327782,0.0513545942529229,0.234318733215332,1183.96673256351,6128.3203125,-898.294650756563,868.8173828125,-0.0133039206266403
13,1.2157465,0.675,1.25,0.0623144897553607,0.238587200641632,0.0462510302221374,0.236507758498192,0.0417364171491219,0.190207853913307,0.0334647135735325,0.188765242695808,0.0617370948995571,0.245419159531593,0.050868682696566,0.243700042366982,2322.80587639768,24978.80859375,-857.658617332517,21516.5625,-0.0549347996711731
14,1.2157465,0.675,1.6830127,0.076047868138708,0.297407567501068,0.0585590917331855,0.292969435453415,0.057097128433144,0.273793786764145,0.0419824398499399,0.272530734539032,0.0799323800973695,0.300524830818176,0.0606611180013193,0.297669231891632,2605.11424803123,9870.3623046875,-2442.13971257132,699.657653808594,-0.0251384973526001
15,1.2157465,0.675,1.8309475,0.0749456373441528,0.308222025632858,0.0556513723017606,0.304936021566391,0.0548882402601661,0.281074315309524,0.0393813636607285,0.279578179121018,0.0755133823618186,0.297718971967697,0.0552549440962804,0.294008553028107,2524.73028931018,6343.07080078125,-2611.88429831327,9782.1650390625,-0.0144303739070892
16,1.2157465,0.83377132,0.8169873,0.139237079772465,0.604965388774872,0.13099086006385,0.597843766212463,0.10298672383792,0.56101268529892,0.0947922612858454,0.558585643768311,0.143981240024752,0.594200193881989,0.135125122229349,0.58811491727829,3041.75102054188,11868.2451171875,-2694.28035714127,881.589599609375,-0.0295292735099792
17,1.2157465,0.83377132,1.25,0.133656422357322,0.429708987474441,0.125787103373885,0.425427705049515,0.100493604326934,0.374690800905228,0.0919419574736122,0.372303426265717,0.134378679955106,0.440009593963623,0.131635839514174,0.43612340092659,5443.72336865287,31039.759765625,-3013.14059563948,23272.064453125,-0.0638199746608734
18,1.2157465,0.83377132,1.6830127,0.175744990723606,0.684708952903748,0.144244710956259,0.677027463912964,0.128194442738627,0.648475587368011,0.100864260468594,0.644808888435364,0.180421961879956,0.698067426681519,0.145830465942451,0.691214323043823,6184.65557032365,20336.12890625,-6192.83094949493,1449.98876953125,-0.0464054346084595
19,1.2157465,0.88801408,1.25,0.173408990407421,0.543826401233673,0.164672597633376,0.538373529911041,0.132212676982566,0.488998353481293,0.123038252025796,0.485814452171326,0.172734586194805,0.558295667171478,0.169281546614019,0.553171038627625,6775.21712667863,33505.83984375,-4457.91896672825,23769.423828125,-0.0673565864562988
20,2.1921162,0.43818751,1.25,0.036231601399697,0.118200302124023,0.00872962543550903,0.117009349167347,0.0232551504210838,0.0911543592810631,0.00707676967271814,0.0894659608602524,0.0380177932838362,0.124002046883106,0.011561136318129,0.123550966382027,601.678290054657,16527.931640625,428.77741477488,16266.3251953125,-0.0340850055217743
