"number","Wo","CR","Freq","aorta_Um_avg","aorta_Um_max","aorta_Ux_avg","aorta_Ux_max","connect_Um_avg","connect_Um_max","connect_Uy_avg","connect_Uy_max","vena_Um_avg","vena_Um_max","vena_Ux_avg","vena_Ux_max","aorta_P_avg","aorta_P_max","vena_P_avg","vena_P_max","delta_P"
1,0.56440976,0.675,1.25,0.0627766462810262,0.246160283684731,0.0510074338675463,0.243883088231087,0.0440336688844792,0.197057038545608,0.0371997139513321,0.19572214782238,0.0647066513813722,0.251443594694138,0.0563349975728205,0.249384135007858,6604.28770717609,30508.150390625,-6022.67132209165,15594.822265625,-0.0536619871854782
2,0.78737526,0.51622868,1.25,0.0406982628005491,0.154360562562943,0.0175252053481558,0.153045892715454,0.0257728676358686,0.116998679935932,0.0138810673701475,0.11609361320734,0.0426347912934844,0.157627791166305,0.0214998829482891,0.156493127346039,1244.00777834705,20350.744140625,-926.297699617209,17158.994140625,-0.0403995141386986
3,0.78737526,0.675,0.8169873,0.0617011197213235,0.265534788370132,0.055675560075187,0.262376099824905,0.0457066922664038,0.247745975852013,0.0404715626299906,0.24664805829525,0.0665434879230608,0.263675361871719,0.0602679978654892,0.261060804128647,2358.06271657636,9675.7900390625,-2212.86016929492,615.409057617188,-0.014412745833397
4,0.78737526,0.675,1.25,0.0642513830713671,0.24769452214241,0.0520461264325195,0.245543912053108,0.0444593031828005,0.197490736842156,0.0374719248160047,0.196136236190796,0.0666041217537252,0.253337562084198,0.0581727623239519,0.251180231571198,4046.73290203856,26947.18359375,-2645.57853236646,19495.908203125,-0.0550439953804016
5,0.78737526,0.675,1.6830127,0.0823356815073147,0.319687068462372,0.0643663687834406,0.315423727035523,0.0605726952713807,0.299007833003998,0.0461617696944114,0.297339886426926,0.0867605669388377,0.318029820919037,0.0663481531193135,0.314500898122787,5332.16911928878,18586.529296875,-5265.99584116236,1982.09753417969,-0.0171610116958618
6,0.78737526,0.83377132,1.25,0.133042547804147,0.441800445318222,0.125040608520104,0.434200048446655,0.105139982840046,0.392811387777328,0.0966196587522623,0.390512079000473,0.134725309278181,0.437138885259628,0.13202093916677,0.429592669010162,8671.26772591424,35014.578125,-6713.31707564586,18785.943359375,-0.0390805900096894
7,1.2157465,0.46198592,1.25,0.0362583263122982,0.132915571331978,0.0123308763273894,0.131735056638718,0.0230065077605944,0.101247936487198,0.0098482222817508,0.100335665047169,0.0382016182113317,0.135965213179588,0.0157205789018084,0.134851306676865,735.841074405063,17559.078125,16.4055390062013,16561.09375,-0.0345156416296959
8,1.2157465,0.51622868,0.8169873,0.0263413054423663,0.107093945145607,0.0217650264629021,0.105466157197952,0.019307116340168,0.101885311305523,0.0154025859856765,0.101522207260132,0.0279955854805127,0.109692297875881,0.0233061459741956,0.108877681195736,466.55391553995,3632.51708984375,-270.893788805119,1354.77709960938,-0.00735547393560411
9,1.2157465,0.51622868,1.25,0.0414978735878119,0.154709294438362,0.0180100629167291,0.153259322047234,0.0261663022827214,0.118758402764797,0.0139930276847736,0.117740660905838,0.0449910552461015,0.159625440835953,0.0236063811665849,0.158566355705261,916.253187685442,19442.505859375,-17.7964316822772,18110.146484375,-0.0408256947994232
10,1.2157465,0.51622868,1.6830127,0.0383171369883821,0.144639283418655,0.027264633815831,0.142455548048019,0.0285210892277134,0.134454220533371,0.0189006381558172,0.133850023150444,0.0403481230570226,0.143056839704513,0.0273392355974091,0.141851112246513,1010.39548009889,4919.70947265625,-870.548448254195,407.770538330078,-0.00800108909606939
11,1.2157465,0.675,0.6690525,0.0659380320436724,0.262522846460342,0.0577352455086572,0.258325785398483,0.0478066905960279,0.240235537290573,0.0404937278685086,0.240050971508026,0.0692561097751216,0.265133798122406,0.059604681210526,0.263945341110229,2159.06246832733,25805.23828125,617.783698852373,21631.767578125,-0.0238943696022034
12,1.2157465,0.675,0.8169873,0.0608551794676228,0.262151122093201,0.0552858410845075,0.258606165647507,0.0454852372377401,0.24567848443985,0.0404214294536667,0.244671955704689,0.0645264584771383,0.265083700418472,0.0586446615918567,0.262681216001511,1054.42034377307,5888.25439453125,-824.621822845999,903.661560058594,-0.0180092602968216
13,1.2157465,0.675,1.25,0.0654718910252094,0.2492865473032,0.0524352766519863,0.247024431824684,0.045154099777126,0.199324309825897,0.0378558601240981,0.197874590754509,0.0674305667366521,0.2571060359478,0.058846230948946,0.254859715700149,2191.92781399545,24773.501953125,-765.938357715211,21684.677734375,-0.0569851249456405
