"time","Q"
0,0.00253187933265122
0.1,0.00336350517527156
0.2,0.00390811768179925
0.3,0.00294723122484559
0.4,0.00170138997231497
0.5,0.00314548311272259
0.6,0.00720084810035877
0.7,0.0114238545957718
0.8,0.0134313287079616
0.9,0.0132216320766398
1,0.0116500252791062
1.1,0.0101014636408806
1.2,0.0090290169355882
1.3,0.0106532375104551
1.4,0.0129576199570137
1.5,0.0140756981370182
1.6,0.0137346067627758
1.7,0.0114454209010401
1.8,0.00863311950421175
1.9,0.00601434396684195
2,0.0054313924209218
2.1,0.00752035215993037
2.2,0.0106536863069954
2.3,0.0124361778039759
2.4,0.0120703558066368
2.5,0.0108875118378882
2.6,0.00929566068342553
2.7,0.00904772974494193
2.8,0.0103170105554506
2.9,0.012855690134788
3,0.0137147428967727
3.1,0.0129674816713542
3.2,0.0105199762184005
3.3,0.0077881417752779
3.4,0.00543560024982114
3.5,0
