"time","Q"
0,0.00310993680710925
0.1,0.00435292392475369
0.2,0.00514198121853081
0.3,0.0036152544773328
0.4,0.00160090016154396
0.5,0.00506135353496525
0.6,0.0128187572093064
0.7,0.0230927448076672
0.8,0.0253868043978639
0.9,0.0228640122854022
1,0.0198934799937978
1.1,0.0177642586220383
1.2,0.0161771537628603
1.3,0.0173202670628649
1.4,0.023198746561791
1.5,0.0282594048317517
1.6,0.0291064380351395
1.7,0.0253020827888688
1.8,0.0199155789165923
1.9,0.0153379785476245
2,0.0135209728703084
2.1,0.0150515143631095
2.2,0.0182977167502271
2.3,0.0186864877636168
2.4,0.0176837922253668
2.5,0.0154415880115064
2.6,0.0121961609910156
2.7,0.0109466234609158
2.8,0.017727126674992
2.9,0.0230157875927716
3,0.0225634823601794
3.1,0.0176026767783631
3.2,0.0130517671000707
3.3,0.00931314455613856
3.4,0.0091356138262381
3.5,0
