"time","Q"
0,0.00080318648521575
0.1,0.00559584049422875
0.2,0.00469466004655574
0.3,0.00724492920684347
0.4,0.0104315331940859
0.5,0.00744771173003302
0.6,0.00587572925021339
0.7,0.00686352618879993
0.8,0.00791340128312489
0.9,0.00549831486776308
1,0.0058686488230654
1.1,0.00860139037597279
1.2,0.00982073077624093
1.3,0.00732341999665157
1.4,0.00586019767473346
1.5,0.00702620575274905
1.6,0.00758044253634234
1.7,0.00571763200847704
1.8,0.00589037688557697
1.9,0.00862110706397726
2,0.00966246402731206
2.1,0.00729242990930652
2.2,0.00578026695153976
2.3,0.00700854760007326
2.4,0.0076452135915915
2.5,0
