"time","Q"
0,0.00168248124833907
0.1,0.0047216498322392
0.2,0.00217116837598762
0.3,0.00497394269237038
0.4,0.00989679111966833
0.5,0.00747224720548461
0.6,0.00197649279705626
0.7,0.00348372740995525
0.8,0.00713816934465789
0.9,0.00468430046743329
1,0.000958726289435555
1.1,0.00629881635428071
1.2,0.00983386898890682
1.3,0.00746325801135629
1.4,0.00197335870481643
1.5,0.00348653249277623
1.6,0.00714196681413444
1.7,0.00469232704950892
1.8,0.000952720293591391
1.9,0.00629432907813688
2,0.00982600932226741
2.1,0.00745069465305297
2.2,0.00196335441600973
2.3,0.00349695899336755
2.4,0.00715344159751182
2.5,0
