"time","Q"
0,0.000668281235101354
0.1,0.00352465887034344
0.2,0.00669859440831167
0.3,0.00745637481967669
0.4,0.00849220060404425
0.5,0.0128848022179286
0.6,0.00402442428502953
0.7,0.00346867386335417
0.8,0.00276349728675441
0.9,0.011709503074749
1,0.0281099886127137
1.1,0.0494035248476385
1.2,0.0695533037233794
1.3,0.0779908466921203
1.4,0.0757003553602702
1.5,0.061666096159372
1.6,0.0430600905504457
1.7,0.0255306954798566
1.8,0.0130341571231159
1.9,0.00870251853104769
2,0.0062739570190094
2.1,0.00749831379174607
2.2,0.022884860375611
2.3,0.0437848439280803
2.4,0.0647658878961621
2.5,0.0762480100780457
2.6,0.0770242053297814
2.7,0.0655886494318342
2.8,0.0474638743943346
2.9,0.029333544663218
3,0
