"number","Wo","CR","Freq","aorta_Um_avg","aorta_Um_max","aorta_Ux_avg","aorta_Ux_max","connect_Um_avg","connect_Um_max","connect_Uy_avg","connect_Uy_max","vena_Um_avg","vena_Um_max","vena_Ux_avg","vena_Ux_max","aorta_P_avg","aorta_P_max","vena_P_avg","vena_P_max","delta_P"
43,2.1921162,0.83377132,1.6830127,0.116555782538713,0.496038049459457,0.0920668142974207,0.487673491239548,0.094048062350395,0.486233055591583,0.0724745626900515,0.483835279941559,0.119159354067121,0.507795035839081,0.0917505503950032,0.496364384889603,3816.42269560007,14956.7724609375,-3829.51847914549,271.471832275391,-0.0125291049480439
44,2.1921162,0.83377132,1.8309475,0.110214259867558,0.50044059753418,0.0867358870177396,0.492196351289749,0.0878962061500016,0.475305318832398,0.0665823477028215,0.472981631755829,0.109132769463235,0.450699210166931,0.084469890979214,0.440607160329819,3991.00044146853,7508.7958984375,-4018.83642306318,11176.91796875,0.0323744714260102
45,2.1921162,0.88801408,0.8169873,0.144919907173168,0.678347587585449,0.137731535471394,0.666389882564545,0.113678031339124,0.654033720493317,0.106287280451522,0.651717066764832,0.146122586249151,0.661271989345551,0.138545661364018,0.645855963230133,3355.28117195106,15197.3974609375,-3021.54678574407,1286.73059082031,0.00586110353469849
46,2.1921162,0.88801408,1.25,0.135295613798458,0.464233607053757,0.125050500857958,0.457091361284256,0.109993335451537,0.41181668639183,0.0995621880003735,0.408860504627228,0.134350379112108,0.485794812440872,0.130839262802252,0.481442302465439,5445.72355157472,32183.919921875,-3625.51303550024,24566.650390625,-0.072581797838211
47,2.1921162,0.88801408,1.6830127,0.168073491065745,0.727904915809631,0.136328570073462,0.716378927230835,0.134754013331258,0.711333572864532,0.106964210993956,0.708008587360382,0.17160189281164,0.731743156909943,0.135342348164368,0.714873075485229,5867.28141197792,23333.40234375,-5978.13413404731,1164.16003417969,-0.00686448812484741
48,2.1921162,0.91181249,1.25,0.16068102820064,0.540587365627289,0.149976639233158,0.532130599021912,0.130860990648104,0.486074894666672,0.120167074296842,0.482881605625153,0.159363684724827,0.532710790634155,0.155471772870622,0.520905792713165,6622.49367232608,34241.1953125,-4461.16565879361,24617.8515625,-0.0380241870880127
49,2.3845769,0.675,1.25,0.0536994246269323,0.17795504629612,0.0208971216509606,0.175855129957199,0.0357808248122008,0.141720935702324,0.015178699653608,0.139345988631249,0.0526498990389882,0.176226794719696,0.0227435033577449,0.173882335424423,1749.41380557021,24073.87890625,683.900700055192,22793.404296875,-0.0345363467931747
50,3.3670938,0.51622868,1.25,0.0430801838456729,0.113830514252186,0.0053810746281632,0.113143101334572,0.0306053881542399,0.0958429500460625,0.00480954775992254,0.0940067917108536,0.0422888281515139,0.114383399486542,0.00860119579097569,0.113704301416874,643.451903788308,19158.158203125,471.569357096562,18938.9453125,-0.0196975097060203
51,3.3670938,0.675,0.8169873,0.0305984881249339,0.119139552116394,0.0222023844612355,0.11587131023407,0.0229257625863782,0.11716665327549,0.016439151398217,0.117112807929516,0.0277422731265194,0.118559770286083,0.0226131052035658,0.11785950511694,344.892991761824,3824.39208984375,-12.4016263980399,2530.4892578125,-0.000746697187423706
52,3.3670938,0.675,1.25,0.0555313200137199,0.165954291820526,0.0188018850550358,0.164819017052651,0.040026478541012,0.133875712752342,0.0151346087656958,0.132521405816078,0.0533944215688527,0.169958204030991,0.0223805687298169,0.168393805623055,1273.58769043432,23931.654296875,726.923901850808,23263.509765625,-0.0358723998069763
